Periodo;CC;CG;Importe
201108; 108011; 920027;0.00
201108; 108011; 920028;0.00
201108; 108011; 920029;0.00
201108; 108011; 930015;0.00
201108; 108011; 930016;0.00
201108; 108011; 930019;0.00
201108; 108011; 930023;0.00
201108; 108011; 930033;0.00
201108; 108011; 930061;0.00
201108; 108011; 930062;0.00
201108; 108011; 930064;0.00
201108; 108011; 930065;0.00
201108; 108011; 930066;0.00
201108; 108011; 930085;0.00
201108; 108011; 930091;0.00
201108; 108011; 930092;0.00
201108; 108011; 930101;0.00
201108; 108011; 930102;0.00
201108; 108011; 930104;0.00
201108; 108011; 930105;0.00
201108; 108011; 930106;0.00
201108; 108011; 930107;0.00
201108; 108011; 930121;0.00
201108; 108011; 930122;0.00
201108; 108011; 930123;0.00
201108; 108011; 930124;0.00
201108; 108011; 930125;0.00
201108; 108011; 930126;0.00
201108; 108011; 930127;0.00
201108; 108011; 930128;0.00
201108; 109011; 900021;0.00
201108; 109011; 920021;0.00
201108; 109011; 920022;0.00
201108; 109011; 920023;0.00
201108; 109011; 920024;0.00
201108; 109011; 920025;0.00
201108; 109011; 920026;0.00
201108; 109011; 920027;0.00
201108; 109011; 920028;0.00
201108; 109011; 920029;0.00
201108; 109011; 930015;0.00
201108; 109011; 930016;0.00
201108; 109011; 930019;0.00
201108; 109011; 930023;0.00
201108; 109011; 930033;0.00
201108; 109011; 930061;0.00
201108; 109011; 930062;0.00
201108; 109011; 930064;0.00
201108; 109011; 930065;0.00
201108; 109011; 930066;0.00
201108; 109011; 930091;0.00
201108; 109011; 930092;0.00
201108; 109011; 930101;0.00
201108; 109011; 930102;0.00
201108; 109011; 930103;0.00
201108; 109011; 930104;0.00
201108; 109011; 930105;0.00
201108; 109011; 930106;0.00
201108; 109011; 930107;0.00
201108; 109011; 930121;0.00
201108; 109011; 930122;0.00
201108; 109011; 930123;0.00
201108; 109011; 930124;0.00
201108; 109011; 930125;0.00
201108; 109011; 930126;0.00
201108; 109011; 930127;0.00
201108; 109011; 930128;0.00
201108; 200011; 930103;0.00
201108; 200011; 930126;0.00
201108; 200012; 930101;0.00
201108; 200012; 930102;0.00
201108; 200012; 930103;0.00
201108; 200012; 930104;0.00
201108; 200012; 930105;0.00
201108; 200012; 930106;0.00
201108; 200012; 930107;0.00
201108; 200012; 930126;0.00
201108; 200012; 930127;0.00
201108; 300011; 920011;0.00
201108; 300011; 920012;0.00
201108; 300011; 920013;0.00
201108; 300011; 920014;0.00
201108; 300011; 920015;0.00
201108; 300011; 920016;0.00
201108; 300011; 920017;0.00
201108; 300011; 920018;0.00
201108; 300011; 920019;0.00
201108; 300011; 930011;0.00
201108; 300011; 930012;0.00
201108; 300011; 930013;0.00
201108; 300011; 930014;0.00
201108; 300011; 930015;0.00
201108; 300011; 930016;0.00
201108; 300011; 930017;0.00
201108; 300011; 930018;0.00
201108; 300011; 930019;0.00
201108; 300011; 930022;0.00
201108; 300011; 930023;0.00
201108; 300011; 930024;0.00
201108; 300011; 930032;0.00
201108; 300011; 930033;0.00
201108; 300011; 930034;0.00
201108; 300011; 930039;0.00
201108; 300011; 930041;0.00
201108; 300011; 930042;0.00
201108; 300011; 930051;0.00
201108; 300011; 930061;0.00
201108; 300011; 930062;0.00
201108; 300011; 930063;0.00
201108; 300011; 930065;0.00
201108; 300011; 930091;0.00
201108; 300011; 930092;0.00
201108; 300011; 930101;0.00
201108; 300011; 930102;0.00
201108; 300011; 930103;0.00
201108; 300011; 930104;0.00
201108; 300011; 930105;0.00
201108; 300011; 930121;0.00
201108; 300011; 930122;0.00
201108; 300011; 930125;0.00
201108; 300011; 930126;0.00
201108; 300011; 930127;0.00
201108; 300011; 930141;0.00
201108; 300011; 930142;0.00
201108; 300011; 930143;0.00
201108; 300011; 930144;0.00
201108; 300011; 930145;0.00
201108; 300011; 930149;0.00
201108; 300012; 920011;0.00
201108; 300012; 920012;0.00
201108; 300012; 920013;0.00
201108; 300012; 920014;0.00
201108; 300012; 920015;0.00
201108; 300012; 920016;0.00
201108; 300012; 920017;0.00
201108; 300012; 920018;0.00
201108; 300012; 920019;0.00
201108; 300012; 930015;0.00
201108; 300012; 930016;0.00
201108; 300012; 930023;0.00
201108; 300012; 930061;0.00
201108; 300012; 930065;0.00
201108; 300012; 930091;0.00
201108; 300012; 930092;0.00
201108; 300012; 930101;0.00
201108; 300012; 930105;0.00
201108; 300012; 930121;0.00
201108; 300012; 930122;0.00
201108; 300012; 930125;0.00
201108; 301011; 930015;0.00
201108; 301011; 930016;0.00
201108; 301011; 930023;0.00
201108; 301011; 930024;0.00
201108; 301011; 930031;0.00
201108; 301011; 930034;0.00
201108; 301011; 930035;0.00
201108; 301011; 930061;0.00
201108; 301011; 930091;0.00
201108; 301011; 930092;0.00
201108; 301011; 930101;0.00
201108; 301011; 930102;0.00
201108; 301011; 930105;0.00
201108; 301011; 930121;0.00
201108; 301011; 930122;0.00
201108; 301011; 930125;0.00
201108; 301011; 930126;0.00
201108; 301011; 930127;0.00
201108; 302011; 920011;0.00
201108; 302011; 920012;0.00
201108; 302011; 920013;0.00
201108; 302011; 920014;0.00
201108; 302011; 920015;0.00
201108; 302011; 920016;0.00
201108; 302011; 920017;0.00
201108; 302011; 920018;0.00
201108; 302011; 920019;0.00
201108; 302011; 920021;0.00
201108; 302011; 920022;0.00
201108; 302011; 920023;0.00
201108; 302011; 920024;0.00
201108; 302011; 920025;0.00
201108; 302011; 920026;0.00
201108; 302011; 920027;0.00
201108; 302011; 920028;0.00
201108; 302011; 920029;0.00
201108; 302011; 930015;0.00
201108; 302011; 930016;0.00
201108; 302011; 930021;0.00
201108; 302011; 930022;0.00
201108; 302011; 930023;0.00
201108; 302011; 930024;0.00
201108; 302011; 930061;0.00
201108; 302011; 930062;0.00
201108; 302011; 930091;0.00
201108; 302011; 930092;0.00
201108; 302011; 930101;0.00
201108; 302011; 930102;0.00
201108; 302011; 930103;0.00
201108; 302011; 930104;0.00
201108; 302011; 930105;0.00
201108; 302011; 930121;0.00
201108; 302011; 930122;0.00
201108; 302011; 930125;0.00
201108; 302011; 930126;0.00
201108; 302011; 930127;0.00
201108; 400011; 920011;0.00
201108; 400011; 920012;0.00
201108; 400011; 920013;0.00
201108; 400011; 920014;0.00
201108; 400011; 920015;0.00
201108; 400011; 920016;0.00
201108; 400011; 920017;0.00
201108; 400011; 920018;0.00
201108; 400011; 920019;0.00
201108; 400011; 930015;0.00
201108; 400011; 930016;0.00
201108; 400011; 930017;0.00
201108; 400011; 930023;0.00
201108; 400011; 930024;0.00
201108; 400011; 930041;0.00
201108; 400011; 930042;0.00
201108; 400011; 930061;0.00
201108; 400011; 930071;0.00
201108; 400011; 930072;0.00
201108; 400011; 930091;0.00
201108; 400011; 930092;0.00
201108; 400011; 930101;0.00
201108; 400011; 930102;0.00
201108; 400011; 930103;0.00
201108; 400011; 930104;0.00
201108; 400011; 930105;0.00
201108; 400011; 930121;0.00
201108; 400011; 930122;0.00
201108; 400011; 930125;0.00
201108; 400011; 930126;0.00
201108; 400011; 930127;0.00
201108; 400011; 930152;0.00
201108; 500011; 970111;0.00
201108; 500011; 970112;0.00
201108; 500011; 970121;0.00
201108; 500011; 970122;0.00
201108; 500011; 970123;0.00
201108; 500011; 970124;0.00
201108; 500011; 970125;0.00
201108; 500011; 970129;0.00
201108; 500011; 970131;0.00
201108; 500011; 970191;0.00
