Periodo;CC;CG;Importe
201108; 300011; 920011;6726
201108; 400011; 920011;5290
201108; 300011; 920015;605.34
201108; 400011; 920015;476.1
201108; 300011; 920016;560.5
201108; 400011; 920016;440.83
201108; 100011; 920021;3187.5
201108; 100011; 920025;286.88
201108; 100011; 920026;265.63
201108; 300011; 930011;295.88
201108; 300011; 930011;2.36
201108; 300011; 930011;261.18
201108; 300011; 930011;0.36
201108; 300011; 930012;583.15
201108; 300011; 930016;12.71
201108; 300011; 930016;10.17
201108; 300011; 930018;40.68
201108; 300011; 930018;300
201108; 301011; 930035;900
201108; 301011; 930035;500
201108; 301011; 930035;900
201108; 102011; 930064;21.19
201108; 102011; 930064;37.29
201108; 102011; 930064;21.19
201108; 108011; 930064;15.25
201108; 108011; 930064;59.32
201108; 108011; 930064;38.98
201108; 108011; 930064;20.34
201108; 108011; 930064;5.08
201108; 108011; 930064;15.25
201108; 101012; 930067;557.05
201108; 400011; 930072;490.7
201108; 400011; 930072;5000
201108; 105011; 930081;3146.5
201108; 105011; 930081;1702.8
201108; 105011; 930081;2918.4
201108; 105011; 930081;3150
201108; 105011; 930081;665.6
201108; 105011; 930081;4831.2
201108; 105011; 930081;1617.6
201108; 105011; 930081;2575
201108; 105011; 930081;3171
201108; 105011; 930081;3150
201108; 105011; 930081;7345.8
201108; 105011; 930081;3564
201108; 105011; 930081;1593
201108; 105011; 930081;966
201108; 105011; 930081;966
201108; 105011; 930081;684
201108; 105011; 930081;1044
201108; 105011; 930081;1057.8
201108; 105011; 930081;702
201108; 105011; 930081;1269
201108; 105011; 930081;615.6
201108; 105011; 930081;957.6
201108; 105011; 930081;1593
201108; 105011; 930081;1392
201108; 105011; 930081;756
201108; 105011; 930081;3960
201108; 105011; 930081;2131.2
201108; 105011; 930081;1699.2
201108; 103011; 930082;630
201108; 103011; 930082;630
201108; 103011; 930082;67.5
201108; 103011; 930082;2019
201108; 103011; 930082;269.6
201108; 103011; 930082;225.6
201108; 103011; 930082;331.2
201108; 103011; 930082;432
201108; 103011; 930082;300.9
201108; 103011; 930082;517.65
201108; 103011; 930082;1044
201108; 103011; 930082;283.2
201108; 103011; 930082;283.2
201108; 103011; 930082;517.65
201108; 103011; 930082;144
201108; 103011; 930082;1790.95
201108; 106011; 930083;2451.53
201108; 106011; 930083;1729.83
201108; 106011; 930083;2299.66
201108; 106011; 930083;1269.15
201108; 106011; 930083;922.03
201108; 106011; 930083;569.49
201108; 106011; 930083;2191.19
201108; 106011; 930083;1179.66
201108; 106011; 930083;1077.03
201108; 106011; 930083;806.36
201108; 106011; 930083;3428.39
201108; 106011; 930083;663.05
201108; 106011; 930083;1210.17
201108; 106011; 930083;5087.29
201108; 106011; 930083;1713.56
201108; 106011; 930083;671.19
201108; 106011; 930083;282.03
201108; 106011; 930083;3371.19
201108; 106011; 930083;3088.98
201108; 106011; 930083;2847.46
201108; 106011; 930083;4962.71
201108; 106011; 930083;480.33
201108; 106011; 930083;2798.87
201108; 106011; 930083;1625.76
201108; 106011; 930083;3239.58
201108; 108011; 930085;924.07
201108; 108011; 930085;899
201108; 108011; 930085;1258.81
201108; 108011; 930085;609.5
201108; 108011; 930085;277.97
201108; 108011; 930085;705.6
201108; 104011; 930087;223.73
201108; 108011; 930105;67.8
201108; 300011; 930121;24.76
201108; 300011; 930122;419.53
201108; 100011; 930123;127.08
201108; 105011; 930124;608.07
201108; 100011; 930125;11.94
201108; 301011; 930128;14
201108; 400011; 930152;53.76
201108; 400011; 930152;283.5
201108; 400011; 930152;1100.04
201108; 101013; 930103;0.00
201108; 101013; 930104;0.00
201108; 101013; 930105;0.00
201108; 101013; 930107;0.00
201108; 101013; 930121;0.00
201108; 101013; 930122;0.00
201108; 101013; 930123;0.00
201108; 101013; 930125;0.00
201108; 101013; 930126;0.00
201108; 101013; 930127;0.00
201108; 101013; 930128;0.00
201108; 102011; 900011;0.00
201108; 102011; 920012;0.00
201108; 102011; 920013;0.00
201108; 102011; 920014;0.00
201108; 102011; 920015;0.00
201108; 102011; 920016;0.00
201108; 102011; 920017;0.00
201108; 102011; 920018;0.00
201108; 102011; 920019;0.00
201108; 102011; 920021;0.00
201108; 102011; 920022;0.00
201108; 102011; 920023;0.00
201108; 102011; 920024;0.00
201108; 102011; 920025;0.00
201108; 102011; 920026;0.00
201108; 102011; 920027;0.00
201108; 102011; 920028;0.00
201108; 102011; 920029;0.00
201108; 102011; 930015;0.00
201108; 102011; 930016;0.00
201108; 102011; 930019;0.00
201108; 102011; 930023;0.00
201108; 102011; 930033;0.00
201108; 102011; 930041;0.00
201108; 102011; 930042;0.00
201108; 102011; 930061;0.00
201108; 102011; 930062;0.00
201108; 102011; 930064;0.00
201108; 102011; 930065;0.00
201108; 102011; 930066;0.00
201108; 102011; 930086;0.00
201108; 102011; 930091;0.00
201108; 102011; 930092;0.00
201108; 102011; 930101;0.00
201108; 102011; 930102;0.00
201108; 102011; 930104;0.00
201108; 102011; 930105;0.00
201108; 102011; 930106;0.00
201108; 102011; 930107;0.00
201108; 102011; 930121;0.00
201108; 102011; 930122;0.00
201108; 102011; 930123;0.00
201108; 102011; 930124;0.00
201108; 102011; 930125;0.00
201108; 102011; 930126;0.00
201108; 102011; 930127;0.00
201108; 102011; 930128;0.00
201108; 103011; 900012;0.00
201108; 103011; 930064;0.00
201108; 103011; 930082;0.00
201108; 105011; 900012;0.00
201108; 105011; 930064;0.00
201108; 105011; 930081;0.00
201108; 106011; 930064;0.00
201108; 106011; 930083;0.00
201108; 108011; 900012;0.00
201108; 108011; 920011;0.00
201108; 108011; 920012;0.00
201108; 108011; 920013;0.00
201108; 108011; 920014;0.00
201108; 108011; 920015;0.00
201108; 108011; 920016;0.00
201108; 108011; 920017;0.00
201108; 108011; 920018;0.00
201108; 108011; 920019;0.00
201108; 108011; 920021;0.00
201108; 108011; 920022;0.00
201108; 108011; 920023;0.00
201108; 108011; 920024;0.00
201108; 108011; 920025;0.00
201108; 108011; 920026;0.00
